# ----------------------------------------
# All Web Site Data
# Статистика пользователей
# 20210818-20210824
# ----------------------------------------

Идентификатор клиента,Сеансы,Сред. длительность сеанса,Показатель отказов,Доход,Транзакции,Коэффициент конверсии цели
1748060246.1628736659,12,00:03:36,"25,00 %","0,00 $",0,"75,00 %"
425660162.1629125642,9,00:00:15,"33,33 %","0,00 $",0,"33,33 %"
1626821881.1629257935,8,00:00:15,"37,50 %","0,00 $",0,"37,50 %"
1210597513.1629076596,7,00:00:44,"14,29 %","0,00 $",0,"85,71 %"
1849005033.1621817343,7,00:06:39,"28,57 %","0,00 $",0,"85,71 %"
1060064261.1629684633,6,00:16:22,"16,67 %","0,00 $",0,"83,33 %"
280882147.1629690571,6,00:03:02,"0,00 %","0,00 $",0,"116,67 %"
2007328791.1629467555,5,00:04:25,"20,00 %","0,00 $",0,"80,00 %"
697270507.1629743938,5,00:00:45,"0,00 %","0,00 $",0,"100,00 %"
776503250.1629083066,5,00:07:39,"20,00 %","0,00 $",0,"40,00 %"
